Name,Popularity
Venom,368.719
Fantastic Beasts: The Crimes of Grindelwald,315.827
The Seven Deadly Sins: Prisoners of the Sky,252.2
The Predator,179.214
Bohemian Rhapsody,162.23
The House with a Clock in Its Walls,155.089
The Grinch,152.814
Robin Hood,133.976
Mission: Impossible - Fallout,129.802
Ralph Breaks the Internet,117.495
The Nun,114.786
Avengers: Infinity War,101.706
The Christmas Chronicles,100.215
Peppermint,95.167
The Equalizer 2,80.009
A Star Is Born,73.935
Incredibles 2,72.403
The Girl in the Spider's Web,66.727
Night School,66.054
The Meg,62.196
